"ID_Estacion","Nombre","Longitud","Latitud","Altitud_msnm"
"21020","MORELOS CAÑADA",-97.42694444,18.76027778,2368
"21023","CHAPULCO",-97.41055556,18.62,2115
"21025","CHILCHOTLA (CFE)",-97.18277778,19.255,2194
"21026","CIUDAD SERDAN (SMN)",-97.44166667,18.98388889,2561
"21027","CIUDAD SERDAN (DGE)",-97.45777778,18.94444444,2569
"21031","CUESTA BLANCA",-97.46305556,18.85861111,2384
"21033","CACALOAPAN",-97.58472222,18.5825,1860
"21038","EL PROGRESO",-97.28916667,19.38527778,2553
"21039","GUADALUPE POTREROS",-97.32416667,18.87416667,2757
"21040","GUADALUPE BUENAVISTA",-97.35583333,19.37027778,2360
"21052","ALCHICHICA",-97.39388889,19.41194444,2343
"21053","SAN BERNARDINO LAGUNAS",-97.2725,18.60388889,1693
"21056","LA TRINIDAD (CFE)",-97.21666667,19.28333333,1685
"21060","PALMAR DE BRAVO",-97.54722222,18.83694444,2414
"21067","QUIMIXTLAN",-97.14805556,19.26361111,2346
"21072","SAN DIEGO TEXMELUCAN",-97.45055556,19.01972222,2581
"21073","SAN ISIDRO CANOAS ALTAS",-97.35222222,18.98277778,3080
"21077","SAN LUIS ATEXCAC",-97.45611111,19.34638889,2414
"21079","SAN PEDRO TEMAMANTLA",-97.51138889,18.92805556,2420
"21080","SAN SALVADOR EL SECO",-97.6625,19.13361111,2355
"21081","SANTA CRUZ COYOTEPEC",-97.56694444,19.02333333,2428
"21082","TECAMACHALCO",-97.72805556,18.89833333,2229
"21093","TLACOTEPEC DE BENITO JUAREZ",-97.67,18.68666667,1941
"21095","TLACHICHUCA",-97.42,19.14222222,2780
"21100","VISTA HERMOSA",-97.73333333,19.12972222,2442
"21105","ZACATEPEC",-97.53361111,19.26611111,2375
"21117","GUADALUPE VICTORIA",-97.34194444,19.29138889,1320
"21119","LIBRES (SMN)",-97.75805556,19.50027778,2897
"21145","GUADALUPE VICTORIA",-97.3,19.3,2790
"21154","SANTA CATARINA LOS REYES",-97.43527778,18.88083333,2180
"21157","SAN JOSE IXTAPA",-97.45833333,18.71666667,2161
"21158","PASO CARRETAS",-97.2525,18.92027778,2887
"21159","ESPERANZA",-97.37555556,18.85916667,2305
"21161","ATZITZINTLA",-97.33527778,18.90194444,2645
"21170","LA PURISIMA",-97.57333333,18.83111111,2437
"21171","SANTA CRUZ MONTERROSAS",-97.56472222,18.89972222,2272
"21173","SANTA MARIA TECHACHALCO",-97.47055556,18.95416667,2035
"21182","PALMARITO",-97.63555556,18.90333333,236
"21184","LIBRES (DGE)",-97.69638889,19.43472222,2423
"21200","LIBRES (CRP)",-97.68611111,19.46305556,3494
"21221","ATENCO",-97.54138889,19.08527778,2233
"21226","LAGUNA EL SALADO (CFE)",-97.47083333,19.47833333,2321
"21244","TEPEYAHUALCO",-97.49444444,19.49,2486
"29007","EL CARMEN",-97.64722222,19.31805556,2350
"30004","ACULTZINGO",-97.30833333,18.71666667,1701
"30010","AMATITLA (CFE)",-96.88027778,19.35,605
"30015","BELLA ESPERANZA (CFE)",-96.86666667,19.43333333,975
"30017","BOCA DE SOCHIAPA",-96.93861111,19.19194444,41
"30026","COATEPEC",-96.94444444,19.45555556,1188
"30030","HEROICA CORDOBA (OBS)",-96.92722222,18.90333333,864
"30032","COSCOMATEPEC (SMN)",-97.04611111,19.07166667,1530
"30036","CUICHAPA",-96.86944444,18.77083333,571
"30042","CHILAPA",-97.15,18.98333333,2123
"30052","ELOTEPEC (CFE)",-97.03944444,19.18666667,1030
"30053","EL PALMAR",-96.78333333,18.53333333,103
"30061","FORTIN DE LAS FLORES",-96.99722222,18.90277778,1020
"30066","HUATUSCO DE CHICUELLAR",-96.95972222,19.15,1284
"30072","IXHUATLAN DEL CAFE",-96.98611111,19.05,1350
"30075","JALAPA DE ENRIQUEZ (OBS)",-96.90388889,19.51194444,1360
"30085","LA TEMBLADERA (CFE)",-97.11833333,19.51611111,3127
"30087","LAS ANIMAS",-96.885,19.5,1281
"30100","MALTRATA (DGE)",-97.27222222,18.81111111,1713
"30115","NARANJAL (CFE)",-96.96222222,18.81388889,697
"30119","OMEALCA",-96.78611111,18.74722222,423
"30120","ORIZABA (OBS)",-97.1,18.85,1237
"30140","RANCHO VIEJO",-96.78361111,19.44694444,914
"30151","SAN MIGUELITO",-96.91805556,18.86388889,781
"30155","SANTA ANITA",-96.81,18.92,826
"30156","SANTA INES",-96.79138889,18.75666667,402
"30164","SUMIDERO",-97.02222222,18.90694444,1077
"30175","TEMBLADERAS",-97.11805556,19.51222222,3102
"30177","TENAMPA (CFE)",-96.8825,19.25166667,1015
"30178","TENEXTEPEC",-97.26416667,19.48611111,2539
"30179","TEOCELO",-96.97361111,19.38611111,1188
"30181","TETELZINGO",-97.13333333,19.05333333,2216
"30186","TOTALCO",-97.33805556,19.50416667,2354
"30187","TOTUTLA",-96.96388889,19.2125,1446
"30195","EMILIANO ZAPATA (CFE)",-96.78333333,19.48333333,924
"30198","ZALAYETA",-97.38888889,19.41388889,2350
"30200","ZONGOLICA",-97,18.66666667,1224
"30206","COSCOMATEPEC (DGE)",-97.02833333,19.07,1473
"30209","IXHUACAN DE LOS REYES (CFE)",-97.11666667,19.35555556,1802
"30210","FORTÍN",-97.01416667,18.91444444,1079
"30212","MALTRATA (SMN)",-97.275,18.81111111,1720
"30227","TUXPANGO",-97.01666667,18.81666667,839
"30228","JALAPA DE ENRIQUEZ I",-96.89833333,19.51805556,1365
"30238","PACHO VIEJO",-96.91805556,19.49666667,1383
"30241","MIRADORES",-96.78611111,19.46527778,942
"30259","SAN JOSE DE ABAJO",-96.77833333,18.77527778,396
"30274","AQUILA",-97.30972222,18.79722222,1875
"30296","EJIDO LA DEFENSA",-96.79166667,19.01805556,651
"30299","PUERTO DEL AIRE",-97.33194444,18.73055556,2227
"30311","COSAUTLAN",-96.99444444,19.33277778,1274
"30316","JUAN JOSE BAZ",-96.79861111,18.83194444,515
"30330","HEROICA CORDOBA (SMN)",-96.91666667,18.88333333,803
"30336","IXHUACAN DE LOS REYES",-97.10833333,19.34861111,1802
"30342","CENTRO REGIONAL HUATUSCO",-96.95,19.14666667,1186
"30366","FRIJOL COLORADO (CFE)",-97.33583333,19.50416667,2354
"30387","POTRERO NUEVO",-96.81194444,18.88805556,548
"30391","TLAQUILPA",-97.14194444,18.59638889,2538
"30395","XALAPA OLMOS",-96.87166667,19.52833333,1241
"30452","BRIONES",-96.94944444,19.50833333,1349
"30453","OXTLAPA",-97.09166667,19.43222222,2111
"30486","LOMA GRANDE",-97.23277778,18.92888889,2040
"30487","MESA DE GOMEZ",-96.97638889,19.52916667,1440
