Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
2009,1,21,23.6129,4.5161
2009,2,20,24.25,4.2857
2009,3,0,24.5806,4.7742000000000004
2009,4,0,26.6667,6.8333
2009,5,127,23.8065,7.2903
2009,6,84,21.9333,7.0667
2009,7,109.01,23.7097,7.4839
2009,8,81,24.096800000000002,6.8387
2009,9,200,21.4667,8.0667
2009,10,29,24.3226,7.9677
2009,11,0,22.7333,5.2
2009,12,0,24.2581,5.9677
2010,1,30.5,19.6129,3.5161
2010,2,30,19.125,4.6786
2010,3,0,26.5161,6
2010,4,61,24.5333,7.2667
2010,5,11,27.1774,7.4839
2010,6,326,24.6,7.6
2010,7,360.01,22.2903,7.7097
2010,8,362.5,23.129,8.129
2010,9,272,24.7667,7.5667
2010,10,8,21.3548,4.1935
2010,11,0,19.1333,3.39
2010,12,7,19.3226,2.2258
2011,1,5,19.7419,4
2011,2,0,21.2857,4.3214
2011,3,18,23.0645,4.8387
2011,4,47,23.6667,6.6667
2011,5,54,24.2258,7.4194
2011,6,107,20.9667,5.9333
2011,7,533.6,18.7742,6.8387
2011,8,478,21.2258,6.6129
2011,9,213,19.55,6.5667
2011,10,70,19.4194,3.9355
2011,11,10,20.15,4.2333
2011,12,0,21.9032,3.0323
2012,1,5.6,18.4194,3.1935
2012,2,1,18.0345,4.1034
2012,3,35,21.7097,4.2258
2012,4,0,20.9333,4.9
2012,5,33,21.129,6.1935
2012,6,286,19.4,6.7667
2012,7,274.1,18.6452,5.8065
2012,8,649,18.1613,6.5484
2012,9,193.6,19.9333,6.4
2012,10,174,18.7419,4.7097
2012,11,54,15.9333,3.3
2012,12,0,20.7903,3.3548
2013,1,0,19.1129,3.3548
2013,2,0,21.7857,4.8571
2013,3,0.01,18.9032,4.129
2013,4,40,21.6667,7.4667
2013,5,57,21.6774,6.629
2013,6,239,21.4,5.35
2013,7,276,21.2581,5.7419
2013,8,401,21.0323,5.6129
2013,9,407,19.3667,7.4
2013,10,40,21.2581,5.9355
2013,11,25,19.4667,4.4667
2013,12,5,20.3548,4.3226
2014,1,5,19.4839,2.0323
2014,2,0,24.1786,4
2014,3,13,23.0645,5.5161
2014,4,40,24.5,5.9667
2014,5,106,21,6.3548
2014,6,252,20.5667,6.4
2014,7,103,20.7742,6
2014,8,158.81,21.6452,5.7419
2014,9,196.4,19.7333,6.5333
2014,10,172.11,19.6129,5.7097
2014,11,51,18.7667,4.2333
2014,12,14,19.6774,3.4194
2015,1,43,20.3226,3.5806
2015,2,1,19.8929,2.2857
2015,3,114,19.2903,2.2581
2015,4,19,23.0333,2
2015,5,162,20.871,4.4839
2015,6,184,19.7667,6
2015,7,132,21.5484,5.4839
2015,8,157,21.6452,5.7419
2015,9,183,20.1667,6.1667
2015,10,46,21.1935,5.5806
2015,11,37,20.05,5.8333
2015,12,11,20.9032,4.871
2016,1,28,17.7419,3.3548
2016,2,0,18.5517,2.2414
2016,3,20,19.871,4.9032
2016,4,71,22.9333,6.3333
2016,5,39,23.6129,6.7097
2016,6,321,21.2667,5.7333
2016,7,303,21.3065,5.5484
2016,8,415,21.2581,5.6452
2016,9,185,21,6.1667
2016,10,60,19.129,4.7742000000000004
2016,11,25.01,18.7,3.3
2016,12,102,20.2581,3.7419
2017,1,3,21.8387,2.0323
2017,2,8,22.5179,3.0714
2017,3,70,20.7742,2.7742
2017,4,49,22.8333,5.4333
2017,5,85,23.9032,6.4516
2017,6,189,20.6667,6.4667
2017,7,177,20.6774,5.6774
2017,8,292,20.4032,5.9677
2017,9,221,19.8,5.7167
2017,10,138.01,19.2258,4.5484
2017,11,0.01,20.4,2.8333
2017,12,0,22.8065,2.0968
2018,1,20,17.4516,0.7742
2018,2,3.01,21.7857,2.8929
2018,3,40,23.096800000000002,4.6774
2018,4,86,22.4667,5.1
2018,5,36,21.129,4.9032
2018,6,176.02,20.5333,5.4
2018,7,97,21.2903,4.5484
2018,8,318,20.0323,4.9677
2018,9,286,21.4667,5.5
2018,10,239,20.3871,5.1935
2018,11,47,21.1071,4.5
2018,12,27,22.3548,2.9355
2019,1,0,21.1935,2.5484
2019,2,2,23.75,4.6429
2019,3,5,21.5484,4.2903
2019,4,27,23.2333,5.2333
2019,5,102,23.8065,6.4194
2019,6,227.01,21.6333,6.2
2019,7,190,21.096800000000002,4.6774
2019,8,105,23.0645,3.5806
2019,9,234,19.9,5.5333
2019,10,167.01,19.6129,6.1613
2019,11,38,20.1667,4.8333
2019,12,0,21.0323,3.6129
2020,1,0,18.1613,3.7742
2020,2,10,21.3448,4.4483
2020,3,0,23.5161,4.129
2020,4,11.01,24.3667,6.7333
2020,5,127,22,5.6452
2020,6,295,21.5,5.4667
2020,7,231,22.096800000000002,5.3871
2020,8,287,20.3226,6
2020,9,322.1,21.2,5.6333
2020,10,35,21.8387,3.6774
2020,11,10,21.5,3.4667
2020,12,0,20.8065,3.5161
2021,1,105.01,20.0323,3.2581
2021,2,0,21.3929,3.0357
2021,3,0.01,24.3548,4.4194
2021,4,16,24.1333,4.9333
2021,5,108.5,22.7742,5.129
2021,6,364,20.5333,5.6333
2021,7,127.5,20.096800000000002,4.2581
2021,8,232,21.4516,5.6452
2021,9,188,21.7,6
2021,10,53.01,23.4194,5.4516
2021,11,20,19.4333,2.7667
2021,12,0,22.5484,3.0645
2022,1,18,NA,NA
2022,2,5,NA,NA
2022,3,2,NA,NA
2022,4,10,NA,NA
2022,5,14,NA,NA
2022,6,402,NA,NA
2022,7,360,NA,NA
2022,8,349,NA,NA
2022,9,404,NA,NA
2022,10,85,NA,NA
2022,11,4,NA,NA
2022,12,5,NA,NA
2023,1,0,NA,NA
2023,2,0,NA,NA
2023,3,25,NA,NA
2023,4,4,NA,NA
2023,5,27,NA,NA
2023,6,41,NA,NA
2023,7,92,NA,NA
2023,8,297,NA,NA
2023,9,167,NA,NA
2023,10,151,NA,NA
2023,11,12,NA,NA
2023,12,5,NA,NA
2024,1,40,NA,NA
2024,2,0,NA,NA
2024,3,0,NA,NA
2024,4,0,NA,NA
2024,5,2,NA,NA
2024,6,271,NA,NA
2024,7,255,NA,NA
2024,8,158,NA,NA
2024,9,174,NA,NA
2024,10,111,NA,NA
2024,11,0,NA,NA
2024,12,0,23.6774,4.2903
2025,1,9,23.1613,3.4194
2025,2,5,22.25,3.8214
